pl_hostname,pl_letter,con
Kepler-263,c,CYG
Kepler-266,b,CYG
Kepler-266,c,CYG
Kepler-267,b,CYG
Kepler-267,c,CYG
Kepler-267,d,CYG
Kepler-27,b,CYG
Kepler-27,c,CYG
Kepler-272,b,CYG
Kepler-272,c,CYG
Kepler-272,d,CYG
Kepler-273,b,CYG
Kepler-273,c,CYG
Kepler-274,b,CYG
Kepler-274,c,CYG
Kepler-275,b,CYG
Kepler-275,c,CYG
Kepler-275,d,CYG
Kepler-276,b,CYG
Kepler-276,c,CYG
Kepler-276,d,CYG
Kepler-28,b,CYG
Kepler-28,c,CYG
Kepler-281,b,CYG
Kepler-281,c,CYG
Kepler-283,b,CYG
Kepler-283,c,CYG
Kepler-284,b,CYG
Kepler-284,c,CYG
Kepler-285,b,CYG
Kepler-285,c,CYG
Kepler-286,b,CYG
Kepler-286,c,CYG
Kepler-286,d,CYG
Kepler-286,e,CYG
Kepler-287,b,CYG
Kepler-287,c,CYG
Kepler-289,b,CYG
Kepler-289,c,CYG
Kepler-289,d,CYG
Kepler-29,b,CYG
Kepler-29,c,CYG
Kepler-292,b,CYG
Kepler-292,c,CYG
Kepler-292,d,CYG
Kepler-292,e,CYG
Kepler-292,f,CYG
Kepler-300,b,CYG
Kepler-300,c,CYG
Kepler-302,b,CYG
Kepler-302,c,CYG
Kepler-304,b,CYG
Kepler-304,c,CYG
Kepler-304,d,CYG
Kepler-304,e,CYG
Kepler-305,b,CYG
Kepler-305,c,CYG
Kepler-305,d,CYG
Kepler-307,b,CYG
Kepler-307,c,CYG
Kepler-308,b,CYG
Kepler-308,c,CYG
Kepler-309,b,CYG
Kepler-309,c,CYG
Kepler-31,b,CYG
Kepler-31,c,CYG
Kepler-31,d,CYG
Kepler-310,b,CYG
Kepler-310,c,CYG
Kepler-310,d,CYG
Kepler-312,b,CYG
Kepler-312,c,CYG
Kepler-313,b,CYG
Kepler-313,c,CYG
Kepler-314,b,CYG
Kepler-314,c,CYG
Kepler-315,b,CYG
Kepler-315,c,CYG
Kepler-316,b,CYG
Kepler-316,c,CYG
Kepler-317,b,CYG
Kepler-317,c,CYG
Kepler-318,b,CYG
Kepler-318,c,CYG
Kepler-32,b,CYG
Kepler-32,c,CYG
Kepler-32,d,CYG
Kepler-32,e,CYG
Kepler-32,f,CYG
Kepler-320,b,CYG
Kepler-320,c,CYG
Kepler-321,b,CYG
Kepler-321,c,CYG
Kepler-325,b,CYG
Kepler-325,c,CYG
Kepler-325,d,CYG
Kepler-326,b,CYG
Kepler-326,c,CYG
Kepler-326,d,CYG
Kepler-327,b,CYG
Kepler-327,c,CYG
Kepler-327,d,CYG
Kepler-328,b,CYG
Kepler-328,c,CYG
Kepler-329,b,CYG
Kepler-329,c,CYG
Kepler-33,b,CYG
Kepler-33,c,CYG
Kepler-33,d,CYG
Kepler-33,e,CYG
Kepler-33,f,CYG
Kepler-330,b,CYG+LYR
Kepler-330,c,CYG+LYR
Kepler-333,b,CYG
Kepler-333,c,CYG
Kepler-335,b,CYG
Kepler-335,c,CYG
Kepler-337,b,CYG
Kepler-337,c,CYG
Kepler-339,b,CYG
Kepler-339,c,CYG
Kepler-339,d,CYG
Kepler-34,b,CYG
Kepler-340,b,CYG
Kepler-340,c,CYG
Kepler-342,b,CYG
Kepler-342,c,CYG
Kepler-342,d,CYG
Kepler-342,e,CYG
Kepler-344,b,CYG
Kepler-344,c,CYG
Kepler-345,b,CYG
